userId,date,product,cost
m8ohlu952qj3i84,2020-05-11,chairmanbonus,0.99
h147sg01qwz4lxk,2020-05-08,chairmanbonus,0.99
id8kklb4qbvuf9i,2020-05-05,starterpack1,5.49
zui4pknpuwm4cn9,2020-05-14,hc2,9.99
jmljh9uswvn27i7,2020-05-14,viptoken,6.99
ugpwx7p9zde4zsl,2020-05-03,viptoken,6.99
mvt8cp6mckx6hzg,2020-05-02,chairmanbonus,0.99
0rjn1923i2dbovq,2020-05-10,promotiondeal2,0.99
gjr8i2z420lp90p,2020-05-11,cashinjection,0.99
yksh72ucwgu626f,2020-05-15,hc1,4.99
mvw3nsuv4hp1prb,2020-05-13,cashinjection,0.99
xijws8fahdpxlku,2020-05-06,superinvestment,4.99
s50i88ckd23sr53,2020-05-15,superinvestment,4.99
s2k1777svbgfm6o,2020-05-08,viptoken,6.99
9h65jlxthdvn3u7,2020-05-04,cashinjection,0.99
wrvb5p8emni353p,2020-05-09,promotiondeal2,0.99
q1khsppj4q3o0di,2020-05-05,hc3,19.99
r9dmlctx8f6gsl4,2020-05-15,hc2,9.99
h7roa09jy10e6o1,2020-05-09,promotiondeal2,0.99
1p41055y90mq53a,2020-05-04,promotiondeal2,0.99
63y566g6zrun56b,2020-05-06,promotiondeal1,0.99
1f2x2iffzm9b0ah,2020-05-01,cashinjection,0.99
45o6nvb3jdhxzjf,2020-05-03,hc1,4.99
4y3ysqivnykxqs2,2020-05-13,cashinjection,0.99
4tx02jy4wxz54tl,2020-05-06,viptoken,6.99
hogxhka7y5vxyro,2020-05-09,hc1,4.99
utvxzv7w64scekl,2020-05-11,starterpack1,5.49
cwid3eif11ugzv4,2020-05-04,cashinjection,0.99
wfstiv98lte2kbn,2020-05-03,viptoken,6.99
5n8xfcjvqh2emsn,2020-05-12,promotiondeal2,0.99
s9uhq4mfslbpvg5,2020-05-13,cashinjection,0.99
cle5q8lpn0tbjzm,2020-05-09,starterpack1,5.49
tosbdtrmdyvjwb0,2020-05-10,promotiondeal2,0.99
2my2kig0m23gv2t,2020-05-07,hc1,4.99
uec9x2hgzft5os0,2020-05-10,cashinjection,0.99
tp0ncq7x6qfnt06,2020-05-06,hc3,19.99
8ziycl3kvly9utf,2020-05-06,cashinjection,0.99
4tadgu9lltgasz3,2020-05-04,promotiondeal2,0.99
svh7z50hftgcjr2,2020-05-13,cashinjection,0.99
ez6ad4cwtq1z0ko,2020-05-10,cashinjection,0.99
qxaom4p619fl74z,2020-05-08,promotiondeal3,0.99
ut1g088uchlqhjv,2020-05-12,viptoken,6.99
wiz9q5jjkoiwj1r,2020-05-13,cashinjection,0.99
bovq19rqrjv64sn,2020-05-15,promotiondeal1,0.99
kofrnu4vsgup426,2020-05-06,superinvestment,4.99
eelo2u1mrwnxrbt,2020-05-13,promotiondeal1,0.99
kucz917btb4t7sk,2020-05-11,cashinjection,0.99
2pgg89ewbyy7oip,2020-05-11,chairmanbonus,0.99
i2v88126gli0moa,2020-05-04,hc1,4.99
cvw5a6rfatlev8g,2020-05-13,viptoken,6.99
nsmm3u8tiyn5b2l,2020-05-11,starterpack2,19.99
orphjtbvyw7fpxq,2020-05-05,promotiondeal3,0.99
8mhkfz7dv2rpt4f,2020-05-10,cashinjection,0.99
vu2tjhsosuqduld,2020-05-11,cashinjection,0.99
m1f8s3siqu7eo5z,2020-05-13,promotiondeal2,0.99
ajp63sjewdm244r,2020-05-10,viptoken,6.99
2sum1yked80vr49,2020-05-06,promotiondeal1,0.99
zuxzpboqmevva3f,2020-05-11,cashinjection,0.99
bs6251i5jggz3vo,2020-05-11,hc1,4.99
ukhls0m37qryszd,2020-05-05,starterpack1,5.49
wfstiv98lte2kbn,2020-05-03,promotiondeal2,0.99
296eei9ternto7c,2020-05-10,cashinjection,0.99
3k66y5w733bdloj,2020-05-09,hc3,19.99
ymchklh42hvjtdw,2020-05-12,hc1,4.99
1vp30j4iqb8zzzz,2020-05-10,cashinjection,0.99
ee123uc1jfxue5i,2020-05-13,starterpack2,19.99
03lltmfdej3wysr,2020-05-11,promotiondeal1,0.99
kwfhxrdfr2va7ew,2020-05-03,promotiondeal1,0.99
mbzcmiw7qxzrzd9,2020-05-12,classiccars,14.99
74zd4yqu6x41rt3,2020-05-14,hc1,4.99
779w5p9hpak36zf,2020-05-04,cashinjection,0.99
8p4f03sm776oyig,2020-05-08,chairmanbonus,0.99
ew6dacy33wzlqgf,2020-05-11,chairmanbonus,0.99
8jwmf8eg5w14fxc,2020-05-09,viptoken,6.99
rcs67foh2afrsku,2020-05-10,cashinjection,0.99
zjyaj05xsopzun9,2020-05-08,chairmanbonus,0.99
smcahfkzrfk2u8e,2020-05-03,promotiondeal1,0.99
5bjgcrlvncfatrl,2020-05-13,promotiondeal1,0.99
e636m6p3s7bzdd1,2020-05-07,promotiondeal2,0.99
h147sg01qwz4lxk,2020-05-08,promotiondeal1,0.99
574oeqpcbt4wd9q,2020-05-11,hc1,4.99
ygz4udoe1qfws07,2020-05-14,promotiondeal1,0.99
1gtrq0inozej8o9,2020-05-12,hc1,4.99
db4c42g4lmd05wi,2020-05-04,cashinjection,0.99
jbv6qyl23fbibr3,2020-05-10,cashinjection,0.99
y0j9zyc8i0b53fv,2020-05-08,chairmanbonus,0.99
e5a0tx5m6g5vizh,2020-05-01,cashinjection,0.99
r8qlpepy8dcvj7n,2020-05-05,promotiondeal2,0.99
7euh2jw7d34wvqz,2020-05-14,promotiondeal1,0.99
u2to1fz9wwt316a,2020-05-11,promotiondeal2,0.99
9kkzwr48h4rr6d2,2020-05-15,starterpack2,19.99
kucz917btb4t7sk,2020-05-11,starterpack1,5.49
yt69jxdfppjxhqo,2020-05-06,viptoken,6.99
epx22zx5d9wt879,2020-05-11,chairmanbonus,0.99
r7v4lo84s9iyhw5,2020-05-13,cashinjection,0.99
4k9341dkcg253k7,2020-05-06,promotiondeal1,0.99
auxz1aaf0zz4u7h,2020-05-12,promotiondeal2,0.99
2dd60ynf8q4xxze,2020-05-13,starterpack1,5.49
4z2w70uawyxcbgh,2020-05-09,viptoken,6.99
aep2nyzyr6t7hz6,2020-05-04,cashinjection,0.99
yzq14a3091xtkdi,2020-05-12,viptoken,6.99
msqygfh1j4xdj32,2020-05-12,starterpack2,19.99
p3r9cezjts84aod,2020-05-13,hc2,9.99
ad62ayxvxykcy58,2020-05-05,starterpack1,5.49
5g1o49ohqwlf0zl,2020-05-04,cashinjection,0.99
izpm75tqoi62xfp,2020-05-11,chairmanbonus,0.99
oxj637cyuft16fu,2020-05-10,promotiondeal1,0.99
iajbjyn3ae2fbgm,2020-05-12,viptoken,6.99
k8qeb7vjb7u6bfh,2020-05-15,cashinjection,0.99
cfot6ccmuslipln,2020-05-04,promotiondeal1,0.99
6b2m90sowkfyoam,2020-05-15,starterpack1,5.49
izuiuoz4946f1c1,2020-05-09,starterpack2,19.99
mo68oq98yyazx03,2020-05-15,superinvestment,4.99
op9zm7nesrtmv5u,2020-05-08,chairmanbonus,0.99
pe5qg4zvugg3fmk,2020-05-15,viptoken,6.99
yy01u59fgsleolk,2020-05-07,formulae,9.99
tym2jvswpx1b4t6,2020-05-08,chairmanbonus,0.99
6d1swtl6hl5lo6m,2020-05-08,starterpack1,5.49
qssbohdifk3oltq,2020-05-03,promotiondeal2,0.99
uj3b3du2bxgszk3,2020-05-13,cashinjection,0.99
olp93gqt42urpz0,2020-05-07,starterpack1,5.49
h83ni1w2qy8ytqm,2020-05-10,superinvestment,4.99
x4t7w4pnuerdzr8,2020-05-10,cashinjection,0.99
oo9j7i2gnafvmp8,2020-05-10,cashinjection,0.99
7zyrq9mmj1vrehg,2020-05-03,starterpack1,5.49
rzthuzh5uwvcy1n,2020-05-09,viptoken,6.99
i36ji54xv30va3h,2020-05-08,viptoken,6.99
sk0nd98mmlt56sh,2020-05-10,cashinjection,0.99
a7gjz49n7r92noy,2020-05-10,viptoken,6.99
swgnitml417eqs7,2020-05-15,superinvestment,4.99
tpmpwr31r7k6ols,2020-05-12,starterpack1,5.49
ne72fo48r6z0nff,2020-05-11,chairmanbonus,0.99
bamyydx4k3k6pqv,2020-05-06,superinvestment,4.99
4p3xovy6wngjyzz,2020-05-15,promotiondeal3,0.99
pjt0clr9mqohigb,2020-05-13,promotiondeal1,0.99
wie8yph2oosszzh,2020-05-10,cashinjection,0.99
g4qwo4butimldp5,2020-05-05,starterpack1,5.49
ozhzrzvcsrm65i9,2020-05-08,promotiondeal3,0.99
4c8vsc7j8qjglwm,2020-05-05,hc2,9.99
4mhhp0doeg4ppmf,2020-05-05,starterpack1,5.49
mwg94f2k4w3uesm,2020-05-13,hc1,4.99
p0xj4cy2zmf4bko,2020-05-06,superinvestment,4.99
g6ycev9yaha85wi,2020-05-08,hc2,9.99
iewuq9jg10rs5md,2020-05-09,promotiondeal3,0.99
kdg430kgeiyzrqw,2020-05-08,promotiondeal2,0.99
cwos7exopq1evj0,2020-05-15,hc4,29.99
bxfqnh2fmgpnnmz,2020-05-06,promotiondeal2,0.99
hrlzetd9na0s7f9,2020-05-14,promotiondeal2,0.99
in05nvpyx12g3lg,2020-05-10,cashinjection,0.99
ag90qtavt727rtp,2020-05-03,starterpack2,19.99
6yfz6b0oqzir0x5,2020-05-12,hc1,4.99
eexf6kzcm1eq4bc,2020-05-13,cashinjection,0.99
lnd7x9vo9gv8fuf,2020-05-02,superinvestment,4.99
g62qha2hvcyo0ki,2020-05-08,promotiondeal2,0.99
skmqqud8az8tnxa,2020-05-11,viptoken,6.99
jhw9idpahkbcjp8,2020-05-13,hc2,9.99
stpvq8420cwj02e,2020-05-11,chairmanbonus,0.99
2ncvvzatkvicw8f,2020-05-11,promotiondeal2,0.99
eu6rdgfhpngsq7c,2020-05-15,starterpack1,5.49
vrn8lw6zhyolf6b,2020-05-10,cashinjection,0.99
qmkcw90quzfg5dn,2020-05-10,hc1,4.99
inus93blh6hjwld,2020-05-11,promotiondeal1,0.99
d5si9s3hoxn9jbf,2020-05-12,promotiondeal1,0.99
c9jidx489931kyi,2020-05-13,cashinjection,0.99
44kswcl0s4unplh,2020-05-08,promotiondeal2,0.99
ev4j7bdeodjycxr,2020-05-10,promotiondeal4,0.99
azob6dx1fd236x1,2020-05-03,viptoken,6.99
4bw4vuk2tgtc0l7,2020-05-13,starterpack1,5.49
6ivxj5t0uw0wrrl,2020-05-15,promotiondeal2,0.99
o2jae0xqm61nef3,2020-05-05,promotiondeal1,0.99
wxhx71an13p59qd,2020-05-10,hc3,19.99
z261ivihgd9std0,2020-05-13,starterpack1,5.49
ce5c6lpu67fdsad,2020-05-04,cashinjection,0.99
vo3wnpue6x3zmjt,2020-05-13,starterpack2,19.99
5sjcnljpcvslnqu,2020-05-03,hc1,4.99
v6rt6u2lcay81td,2020-05-01,formulae,9.99
ehaoe4rlf9t5rjr,2020-05-10,starterpack1,5.49
mukl5kavyw0ga79,2020-05-13,promotiondeal2,0.99
i5lu3ov059klt4h,2020-05-14,hc4,29.99
azob6dx1fd236x1,2020-05-03,promotiondeal1,0.99
7mtlueyvqo48vc6,2020-05-09,hc2,9.99
wxzl8dwi5ab6t2f,2020-05-10,cashinjection,0.99
qdhg3ur4cfx8m68,2020-05-12,promotiondeal2,0.99
arac5tc36674b1d,2020-05-09,cashinjection,0.99
pher2qay6fzwvub,2020-05-06,superinvestment,4.99
ugqpayy2fk4o2tg,2020-05-13,viptoken,6.99
g9ufeh5lmoqmsks,2020-05-10,promotiondeal2,0.99
0g0ftbrclceoek9,2020-05-07,promotiondeal3,0.99
fo7jdzr33elde8y,2020-05-05,promotiondeal2,0.99
g9fuc5ehzrilz66,2020-05-03,formulae,9.99
q3mbblva3epiwdl,2020-05-02,starterpack1,5.49
snn55dnn23nkveq,2020-05-06,superinvestment,4.99
rk212o1umv2tabf,2020-05-13,promotiondeal5,0.99
571ruv5lpf37p3r,2020-05-04,hc1,4.99
q1khsppj4q3o0di,2020-05-09,hc5,49.99
0fxnr19twk6x0m1,2020-05-02,viptoken,6.99
9pebmeyrenan392,2020-05-15,starterpack1,5.49
9kkzwr48h4rr6d2,2020-05-15,starterpack1,5.49
3zbt500gr0a3gc8,2020-05-04,hc1,4.99
cqv6yg8j5qc3gme,2020-05-10,cashinjection,0.99
jao781citisxx3a,2020-05-01,cashinjection,0.99
rrdkzi4b0878zue,2020-05-10,cashinjection,0.99
5inb624ymvsex5u,2020-05-15,viptoken,6.99
r2nv1o2bl9sab76,2020-05-07,promotiondeal1,0.99
k8napnk26zij2f0,2020-05-08,chairmanbonus,0.99
tp0ncq7x6qfnt06,2020-05-06,superinvestment,4.99
z85zr0nydyuds3k,2020-05-13,cashinjection,0.99
143p6wi3sgoxkoz,2020-05-11,chairmanbonus,0.99
pgd16ud87kw2d5o,2020-05-05,starterpack1,5.49
0lloim6jnhrcvlv,2020-05-09,promotiondeal2,0.99
ekxfbc49ovpf5w9,2020-05-01,hc6,99.99
hehb0u06voc0k45,2020-05-10,cashinjection,0.99
7kj0d3mijhfhwc9,2020-05-12,promotiondeal2,0.99
8au74myo66szvuj,2020-05-10,viptoken,6.99
ndn7d4drlracbdx,2020-05-08,chairmanbonus,0.99
gdntmelyu8g91jf,2020-05-15,hc1,4.99
c1zlbt8ae958u4m,2020-05-10,cashinjection,0.99
dsuj7atq8nn80rg,2020-05-12,promotiondeal3,0.99
lr2az1s46168meb,2020-05-06,viptoken,6.99
bavk8twwwl5nv52,2020-05-06,promotiondeal2,0.99
gnirjk5jsymntjq,2020-05-13,promotiondeal5,0.99
l2m87whrfqmwi7n,2020-05-13,promotiondeal1,0.99
bjg1x13bmqanaws,2020-05-04,cashinjection,0.99
gllp5cek2su35tv,2020-05-06,promotiondeal2,0.99
78usogt72zl1wrq,2020-05-13,cashinjection,0.99
gaunbsuhyzbi8re,2020-05-08,chairmanbonus,0.99
sosr9g6521r5n6h,2020-05-15,hc3,19.99
rtvcjk1pohe2hg7,2020-05-11,promotiondeal2,0.99
cpyfghpwd0rgnne,2020-05-04,cashinjection,0.99
x5ukphi3wpnn7jo,2020-05-10,promotiondeal1,0.99
umfc1biy8up86e3,2020-05-13,cashinjection,0.99
ogj418lniqhr7qe,2020-05-13,promotiondeal2,0.99
omufgdam4qh5gn4,2020-05-15,promotiondeal2,0.99
2yficvik47ohv2p,2020-05-09,starterpack1,5.49
9jpmpvpshaksk84,2020-05-02,starterpack1,5.49
ukmcmj8tbvjchix,2020-05-10,cashinjection,0.99
4ttxp37qxam1un3,2020-05-06,superinvestment,4.99
aw0qy3jzuxzchqn,2020-05-07,promotiondeal2,0.99
ydd9sbv2yqlm34i,2020-05-08,chairmanbonus,0.99
idkhsmkcx6tawcv,2020-05-06,superinvestment,4.99
k0wykm8si67n4in,2020-05-12,hc1,4.99
njohrqbui51jrw9,2020-05-12,starterpack1,5.49
6mvul4bt900vtkd,2020-05-14,hc2,9.99
jlwgi632d5wejpd,2020-05-12,promotiondeal2,0.99
a090w1ncrqw5xzn,2020-05-11,viptoken,6.99
055n8ukpnr05xae,2020-05-15,hc3,19.99
4nz63l2xneaal52,2020-05-14,promotiondeal2,0.99
1bkwv08fd6bh8x9,2020-05-01,promotiondeal2,0.99
0ff6mpkmru1u6tx,2020-05-10,promotiondeal2,0.99
4qpafqcvy5h1vof,2020-05-05,superinvestment,4.99
17icnitlf1kpt71,2020-05-06,hc3,19.99
en01j81oy4hgye0,2020-05-13,cashinjection,0.99
361f0o86dymi5nx,2020-05-13,starterpack1,5.49
0fxnr19twk6x0m1,2020-05-02,chairmanbonus,0.99
xtfkd9c07vkpvjh,2020-05-08,promotiondeal1,0.99
groiv99ftvnij4z,2020-05-08,chairmanbonus,0.99
k0zk3gc7ph22xu4,2020-05-09,promotiondeal3,0.99
l26b127glgvdcnk,2020-05-06,superinvestment,4.99
4tadgu9lltgasz3,2020-05-05,starterpack1,5.49
5dwnufhprq4pead,2020-05-15,promotiondeal2,0.99
8boztvvezfrjpoq,2020-05-13,cashinjection,0.99
bhv3cwzcaf03q74,2020-05-13,starterpack1,5.49
s9uhq4mfslbpvg5,2020-05-08,chairmanbonus,0.99
r2mhmhwl40fho8y,2020-05-03,viptoken,6.99
44rafnq4dt6e5i4,2020-05-14,promotiondeal2,0.99
0yq7tcyz48rqq3l,2020-05-10,cashinjection,0.99
olp93gqt42urpz0,2020-05-06,superinvestment,4.99
b9bnrkwzeb9jnqz,2020-05-13,cashinjection,0.99
9ca0jhwocg7mobp,2020-05-10,cashinjection,0.99
h5o2zl4ljmfa4ah,2020-05-03,starterpack1,5.49
xs1v7y9kz8a3efc,2020-05-11,promotiondeal2,0.99
m6z9ao4bqzjkeiw,2020-05-01,promotiondeal2,0.99
b1il3516byxbdd5,2020-05-01,cashinjection,0.99
qx0oatcf7ql2vzs,2020-05-10,cashinjection,0.99
vxd0yylpelzdoms,2020-05-03,promotiondeal2,0.99
gaj4vtfg26l04eb,2020-05-08,hc1,4.99
imaueuelicpk2kc,2020-05-06,starterpack2,19.99
d5m5gml2c9545ze,2020-05-12,chairmanbonus,0.99
zio98544s9xjj4b,2020-05-05,promotiondeal3,0.99
vyfn9cwa2l7iybc,2020-05-15,superinvestment,4.99
fhokj01ksi4e33k,2020-05-04,viptoken,6.99
bfyaqi3xgbz1gmw,2020-05-15,starterpack1,5.49
hvp4chf809kdq57,2020-05-04,cashinjection,0.99
g4gdb6fsce99mvu,2020-05-02,promotiondeal1,0.99
8fitmlzrnxbd7ye,2020-05-04,cashinjection,0.99
ag90qtavt727rtp,2020-05-05,promotiondeal4,0.99
b9bnrkwzeb9jnqz,2020-05-11,promotiondeal2,0.99
8r9hwmz1y1w3hhy,2020-05-13,hc2,9.99
s6e09m858w8nwsu,2020-05-04,cashinjection,0.99
mofqoyclanumlmn,2020-05-08,hc1,4.99
rct9x0zgtxs22sx,2020-05-05,promotiondeal1,0.99
nf7huybgvhv4ptt,2020-05-10,cashinjection,0.99
kzk0f5eotfslahj,2020-05-13,cashinjection,0.99
rg5xk0jkcmrs3k0,2020-05-13,cashinjection,0.99
9xfrmvw4whv56or,2020-05-03,formulae,9.99
ilu7qc69elr3kra,2020-05-12,starterpack2,19.99
sxa6z59b98ocoii,2020-05-08,chairmanbonus,0.99
e4ekgh1p432zlh6,2020-05-10,viptoken,6.99
duh5czjxo5ajdcb,2020-05-03,cashinjection,0.99
ofpdfm535n7jsvi,2020-05-10,starterpack2,19.99
pknnna5vbb9nzvb,2020-05-04,promotiondeal2,0.99
x36v6nn7tsn3ug1,2020-05-05,cashinjection,0.99
0dn10f4h7h6tojm,2020-05-09,promotiondeal2,0.99
q68xxjcta506q5o,2020-05-06,promotiondeal2,0.99
r62yxjw3o8zez66,2020-05-07,superinvestment,4.99
5ut36stob2bd8fs,2020-05-14,hc1,4.99
tfhcibk7fbrjj4o,2020-05-08,chairmanbonus,0.99
ryimsiw9fthtp4h,2020-05-10,cashinjection,0.99
d38wmv0ky91v0m1,2020-05-03,promotiondeal1,0.99
x1p77y0wxnb3xef,2020-05-04,cashinjection,0.99
nwqmu4rayrynbkp,2020-05-08,hc1,4.99
31827giguur4zm0,2020-05-07,promotiondeal1,0.99
ukhxhs7nksdksxn,2020-05-11,cashinjection,0.99
nhfb44och6e8h69,2020-05-02,promotiondeal1,0.99
ugqpayy2fk4o2tg,2020-05-15,superinvestment,4.99
dxmdthqkh7hs7i1,2020-05-11,chairmanbonus,0.99
2pix6w7cmnxnfb1,2020-05-06,superinvestment,4.99
k15hwwgtrnm02zl,2020-05-06,promotiondeal2,0.99
e0gqa93tp8vbkem,2020-05-10,cashinjection,0.99
0zhchr0m4ff98tz,2020-05-14,hc1,4.99
1if1tsrfb234h5h,2020-05-15,superinvestment,4.99
c5jnzlle6f43i9h,2020-05-05,starterpack2,19.99
ipaoq1mvgwd5yee,2020-05-11,chairmanbonus,0.99
jlyhpb6ihh3eg83,2020-05-03,promotiondeal2,0.99
6m8mg8h0l3zxqac,2020-05-12,promotiondeal2,0.99
9t817mgbe56gix2,2020-05-08,chairmanbonus,0.99
l26b127glgvdcnk,2020-05-11,chairmanbonus,0.99
vwd5fpqkni1xqmj,2020-05-07,hc2,9.99
zn00to6jjtx13q7,2020-05-12,chairmanbonus,0.99
i5lu3ov059klt4h,2020-05-10,hc2,9.99
beonhcad2io9yw8,2020-05-11,hc2,9.99
3lzvi326bqu6d5r,2020-05-09,hc2,9.99
s53a9uzu2txd8sm,2020-05-04,cashinjection,0.99
3me81eqf4et20f9,2020-05-07,promotiondeal2,0.99
tym2jvswpx1b4t6,2020-05-04,promotiondeal2,0.99
b9usvzxu7ryi8bf,2020-05-08,starterpack1,5.49
j0ovjdaec304iwk,2020-05-04,cashinjection,0.99
h49lihlw6khlblc,2020-05-04,viptoken,6.99
r58r52n7gd4sk55,2020-05-10,cashinjection,0.99
o5efackp0dcw7uy,2020-05-06,promotiondeal1,0.99
k8napnk26zij2f0,2020-05-09,hc1,4.99
0im9saehuvegvmn,2020-05-12,promotiondeal3,0.99
fpxqun1ee78vvg6,2020-05-11,starterpack1,5.49
0et2wxjx983gmxw,2020-05-13,cashinjection,0.99
guzbjshkrbfo5fe,2020-05-06,hc1,4.99
p0kx9012333zl7j,2020-05-05,promotiondeal2,0.99
hld3x7mx0kq1h9k,2020-05-08,viptoken,6.99
arcjyb3p8o14lmf,2020-05-12,promotiondeal2,0.99
8hiy6yb1t0xjepd,2020-05-04,cashinjection,0.99
a9ez57fspun4f2z,2020-05-03,viptoken,6.99
s8o64i0k0lnwg8i,2020-05-01,promotiondeal1,0.99
hkilr5g12kf89y4,2020-05-03,promotiondeal2,0.99
n3ifhg3h1s9r858,2020-05-09,starterpack1,5.49
iqwj1obw9wsz7gl,2020-05-10,starterpack1,5.49
xy8mkuzu635ib26,2020-05-09,starterpack1,5.49
smecxq1o6cehrai,2020-05-13,cashinjection,0.99
p2umed0aijbsixd,2020-05-09,promotiondeal2,0.99
so84w8p1ms0340m,2020-05-02,promotiondeal2,0.99
oae1eebv1a135n0,2020-05-11,promotiondeal2,0.99
2yp28h94n6xm803,2020-05-07,starterpack1,5.49
zarq32q12rowxyp,2020-05-06,promotiondeal2,0.99
jxqih6tv1lnx77f,2020-05-14,promotiondeal3,0.99
f9n7x7fjjp1ssii,2020-05-10,promotiondeal3,0.99
ai3hklu35w28fir,2020-05-14,promotiondeal3,0.99
0vxbfcp4wmsbfrs,2020-05-13,promotiondeal2,0.99
r8su4vhr1ox5zzo,2020-05-10,promotiondeal1,0.99
hvp4chf809kdq57,2020-05-08,chairmanbonus,0.99
0yc7enmpkededjv,2020-05-13,promotiondeal4,0.99
4c8vsc7j8qjglwm,2020-05-04,cashinjection,0.99
w1pqdazbg77lbty,2020-05-13,cashinjection,0.99
t1tb3dcuhccmqh1,2020-05-02,viptoken,6.99
c84a6qybdavo14f,2020-05-03,hc2,9.99
op9iu6jy44oxnx5,2020-05-04,starterpack2,19.99
er9ecpjtou9mty9,2020-05-14,cashinjection,0.99
fhkdxbgo3n5udlz,2020-05-12,viptoken,6.99
3b1o56azfbvae3k,2020-05-15,superinvestment,4.99
zydnlab5o6j4u8x,2020-05-10,cashinjection,0.99
xshkqukqws949dl,2020-05-02,chairmanbonus,0.99
ufy7fpb7lkyxndz,2020-05-10,cashinjection,0.99
1if1tsrfb234h5h,2020-05-10,promotiondeal1,0.99
sebftdeywp9k8kr,2020-05-08,starterpack1,5.49
urnb491onhtnk9i,2020-05-06,superinvestment,4.99
obc7lav90v7oglg,2020-05-14,viptoken,6.99
ygqwczpo64pc014,2020-05-09,viptoken,6.99
503y9jp63uwd8p0,2020-05-13,cashinjection,0.99
a7mczu6sy55huql,2020-05-11,chairmanbonus,0.99
u0a0qgvpt3f7wzx,2020-05-05,promotiondeal1,0.99
ln7fhcowr20jrul,2020-05-02,hc3,19.99
